english 	braille
Go for it.	⠠⠛⠕⠀⠿⠀⠊⠞⠲
Go get it.	⠠⠛⠕⠀⠛⠑⠞⠀⠊⠞⠲
Go get it.	⠠⠛⠕⠀⠛⠑⠞⠀⠊⠞⠲
Go get it.	⠠⠛⠕⠀⠛⠑⠞⠀⠊⠞⠲
Go inside.	⠠⠛⠕⠀⠊⠝⠎⠊⠙⠑⠲
Go to bed.	⠠⠛⠕⠀⠞⠕⠀⠃⠫⠲
Grab that.	⠠⠛⠗⠁⠃⠀⠹⠁⠞⠲
Grab this.	⠠⠛⠗⠁⠃⠀⠹⠊⠎⠲
Have some.	⠠⠓⠁⠧⠑⠀⠎⠕⠍⠑⠲
Have some.	⠠⠓⠁⠧⠑⠀⠎⠕⠍⠑⠲
Have some.	⠠⠓⠁⠧⠑⠀⠎⠕⠍⠑⠲
He is old.	⠠⠓⠑⠀⠊⠎⠀⠕⠇⠙⠲
He is old.	⠠⠓⠑⠀⠊⠎⠀⠕⠇⠙⠲
He shaved.	⠠⠓⠑⠀⠩⠁⠧⠫⠲
He smiled.	⠠⠓⠑⠀⠎⠍⠊⠇⠫⠲
He's a DJ.	⠠⠓⠑⠄⠎⠀⠁⠀⠠⠠⠙⠚⠠⠄⠲
He's fast.	⠠⠓⠑⠄⠎⠀⠋⠁⠌⠲
He's good.	⠠⠓⠑⠄⠎⠀⠛⠕⠕⠙⠲
He's rich.	⠠⠓⠑⠄⠎⠀⠗⠊⠡⠲
He's rich.	⠠⠓⠑⠄⠎⠀⠗⠊⠡⠲
Here I am.	⠠⠓⠻⠑⠀⠠⠊⠀⠁⠍⠲
Hold this.	⠠⠓⠕⠇⠙⠀⠹⠊⠎⠲
How awful!	⠠⠓⠪⠀⠁⠺⠋⠥⠇⠖
How weird!	⠠⠓⠪⠀⠺⠑⠊⠗⠙⠖
How's Tom?	⠠⠓⠪⠄⠎⠀⠠⠞⠕⠍⠦
Humor Tom.	⠠⠓⠥⠍⠕⠗⠀⠠⠞⠕⠍⠲
I am busy.	⠠⠊⠀⠁⠍⠀⠃⠥⠎⠽⠲
I am full.	⠠⠊⠀⠁⠍⠀⠋⠥⠇⠇⠲
I am full.	⠠⠊⠀⠁⠍⠀⠋⠥⠇⠇⠲
I am good.	⠠⠊⠀⠁⠍⠀⠛⠕⠕⠙⠲
I am here.	⠠⠊⠀⠁⠍⠀⠓⠻⠑⠲
I am sick.	⠠⠊⠀⠁⠍⠀⠎⠊⠉⠅⠲
I am weak.	⠠⠊⠀⠁⠍⠀⠺⠑⠁⠅⠲
I beg you.	⠠⠊⠀⠃⠑⠛⠀⠽⠳⠲
I beg you.	⠠⠊⠀⠃⠑⠛⠀⠽⠳⠲
I can fly.	⠠⠊⠀⠉⠁⠝⠀⠋⠇⠽⠲
I can run.	⠠⠊⠀⠉⠁⠝⠀⠗⠥⠝⠲
I can run.	⠠⠊⠀⠉⠁⠝⠀⠗⠥⠝⠲
I can ski.	⠠⠊⠀⠉⠁⠝⠀⠎⠅⠊⠲
I cringed.	⠠⠊⠀⠉⠗⠊⠝⠛⠫⠲
I fainted.	⠠⠊⠀⠋⠁⠊⠝⠞⠫⠲
I fainted.	⠠⠊⠀⠋⠁⠊⠝⠞⠫⠲
I gave up.	⠠⠊⠀⠛⠁⠧⠑⠀⠥⠏⠲
I gave up.	⠠⠊⠀⠛⠁⠧⠑⠀⠥⠏⠲
I gave up.	⠠⠊⠀⠛⠁⠧⠑⠀⠥⠏⠲
I gave up.	⠠⠊⠀⠛⠁⠧⠑⠀⠥⠏⠲
I get you.	⠠⠊⠀⠛⠑⠞⠀⠽⠳⠲
I get you.	⠠⠊⠀⠛⠑⠞⠀⠽⠳⠲
I get you.	⠠⠊⠀⠛⠑⠞⠀⠽⠳⠲
I got hit.	⠠⠊⠀⠛⠕⠞⠀⠓⠊⠞⠲
I got hit.	⠠⠊⠀⠛⠕⠞⠀⠓⠊⠞⠲
I hate it.	⠠⠊⠀⠓⠁⠞⠑⠀⠊⠞⠲
I hate it.	⠠⠊⠀⠓⠁⠞⠑⠀⠊⠞⠲
I hate it.	⠠⠊⠀⠓⠁⠞⠑⠀⠊⠞⠲
I hit Tom.	⠠⠊⠀⠓⠊⠞⠀⠠⠞⠕⠍⠲
I hope so.	⠠⠊⠀⠓⠕⠏⠑⠀⠎⠕⠲
I knew it.	⠠⠊⠀⠅⠝⠑⠺⠀⠊⠞⠲
I laughed.	⠠⠊⠀⠇⠁⠥⠣⠫⠲
I like it.	⠠⠊⠀⠇⠊⠅⠑⠀⠊⠞⠲
I love it!	⠠⠊⠀⠇⠕⠧⠑⠀⠊⠞⠖
I love it.	⠠⠊⠀⠇⠕⠧⠑⠀⠊⠞⠲
I mean it!	⠠⠊⠀⠍⠑⠁⠝⠀⠊⠞⠖
I mean it.	⠠⠊⠀⠍⠑⠁⠝⠀⠊⠞⠲
I mean it.	⠠⠊⠀⠍⠑⠁⠝⠀⠊⠞⠲
I miss it.	⠠⠊⠀⠍⠊⠎⠎⠀⠊⠞⠲
I miss it.	⠠⠊⠀⠍⠊⠎⠎⠀⠊⠞⠲
I miss it.	⠠⠊⠀⠍⠊⠎⠎⠀⠊⠞⠲
I need it.	⠠⠊⠀⠝⠑⠫⠀⠊⠞⠲
I saw Tom.	⠠⠊⠀⠎⠁⠺⠀⠠⠞⠕⠍⠲
I saw him.	⠠⠊⠀⠎⠁⠺⠀⠓⠊⠍⠲
I saw him.	⠠⠊⠀⠎⠁⠺⠀⠓⠊⠍⠲
I saw one.	⠠⠊⠀⠎⠁⠺⠀⠕⠝⠑⠲
I saw one.	⠠⠊⠀⠎⠁⠺⠀⠕⠝⠑⠲
I saw one.	⠠⠊⠀⠎⠁⠺⠀⠕⠝⠑⠲
I saw you.	⠠⠊⠀⠎⠁⠺⠀⠽⠳⠲
I saw you.	⠠⠊⠀⠎⠁⠺⠀⠽⠳⠲
I see Tom.	⠠⠊⠀⠎⠑⠑⠀⠠⠞⠕⠍⠲
I tripped.	⠠⠊⠀⠞⠗⠊⠏⠏⠫⠲
I'll cook.	⠠⠊⠄⠇⠇⠀⠉⠕⠕⠅⠲
I'll cook.	⠠⠊⠄⠇⠇⠀⠉⠕⠕⠅⠲
I'll live.	⠠⠊⠄⠇⠇⠀⠇⠊⠧⠑⠲
I'll sing.	⠠⠊⠄⠇⠇⠀⠎⠊⠝⠛⠲
I'll stop.	⠠⠊⠄⠇⠇⠀⠌⠕⠏⠲
I'll stop.	⠠⠊⠄⠇⠇⠀⠌⠕⠏⠲
I'll wait.	⠠⠊⠄⠇⠇⠀⠺⠁⠊⠞⠲
I'll wait.	⠠⠊⠄⠇⠇⠀⠺⠁⠊⠞⠲
I'll walk.	⠠⠊⠄⠇⠇⠀⠺⠁⠇⠅⠲
I'll walk.	⠠⠊⠄⠇⠇⠀⠺⠁⠇⠅⠲
I'll work.	⠠⠊⠄⠇⠇⠀⠺⠕⠗⠅⠲
I'm a man.	⠠⠊⠄⠍⠀⠁⠀⠍⠁⠝⠲
I'm a pro.	⠠⠊⠄⠍⠀⠁⠀⠏⠗⠕⠲
I'm alone.	⠠⠊⠄⠍⠀⠁⠇⠕⠝⠑⠲
I'm alone.	⠠⠊⠄⠍⠀⠁⠇⠕⠝⠑⠲
I'm alone.	⠠⠊⠄⠍⠀⠁⠇⠕⠝⠑⠲
I'm alone.	⠠⠊⠄⠍⠀⠁⠇⠕⠝⠑⠲
I'm angry.	⠠⠊⠄⠍⠀⠁⠝⠛⠗⠽⠲
I'm angry.	⠠⠊⠄⠍⠀⠁⠝⠛⠗⠽⠲
I'm awake.	⠠⠊⠄⠍⠀⠁⠺⠁⠅⠑⠲
I'm blind.	⠠⠊⠄⠍⠀⠃⠇⠊⠝⠙⠲
I'm broke.	⠠⠊⠄⠍⠀⠃⠗⠕⠅⠑⠲
I'm broke.	⠠⠊⠄⠍⠀⠃⠗⠕⠅⠑⠲
I'm broke.	⠠⠊⠄⠍⠀⠃⠗⠕⠅⠑⠲
I'm broke.	⠠⠊⠄⠍⠀⠃⠗⠕⠅⠑⠲
I'm crazy.	⠠⠊⠄⠍⠀⠉⠗⠁⠵⠽⠲
I'm drunk.	⠠⠊⠄⠍⠀⠙⠗⠥⠝⠅⠲
I'm drunk.	⠠⠊⠄⠍⠀⠙⠗⠥⠝⠅⠲
I'm drunk.	⠠⠊⠄⠍⠀⠙⠗⠥⠝⠅⠲
I'm dying.	⠠⠊⠄⠍⠀⠙⠽⠊⠝⠛⠲
I'm first.	⠠⠊⠄⠍⠀⠋⠊⠗⠌⠲
I'm first.	⠠⠊⠄⠍⠀⠋⠊⠗⠌⠲
I'm first.	⠠⠊⠄⠍⠀⠋⠊⠗⠌⠲
I'm first.	⠠⠊⠄⠍⠀⠋⠊⠗⠌⠲
I'm happy.	⠠⠊⠄⠍⠀⠓⠁⠏⠏⠽⠲
I'm happy.	⠠⠊⠄⠍⠀⠓⠁⠏⠏⠽⠲
I'm loved.	⠠⠊⠄⠍⠀⠇⠕⠧⠫⠲
I'm loved.	⠠⠊⠄⠍⠀⠇⠕⠧⠫⠲
I'm obese.	⠠⠊⠄⠍⠀⠕⠃⠑⠎⠑⠲
I'm ready.	⠠⠊⠄⠍⠀⠗⠑⠁⠙⠽⠲
I'm sorry.	⠠⠊⠄⠍⠀⠎⠕⠗⠗⠽⠲
I'm tired.	⠠⠊⠄⠍⠀⠞⠊⠗⠫⠲
I'm tired.	⠠⠊⠄⠍⠀⠞⠊⠗⠫⠲
I'm yours.	⠠⠊⠄⠍⠀⠽⠳⠗⠎⠲
I'm yours.	⠠⠊⠄⠍⠀⠽⠳⠗⠎⠲
I'm yours.	⠠⠊⠄⠍⠀⠽⠳⠗⠎⠲
I've lost.	⠠⠊⠄⠧⠑⠀⠇⠕⠌⠲
Ignore it.	⠠⠊⠛⠝⠕⠗⠑⠀⠊⠞⠲
Ignore it.	⠠⠊⠛⠝⠕⠗⠑⠀⠊⠞⠲
Is Tom OK?	⠠⠊⠎⠀⠠⠞⠕⠍⠀⠠⠠⠕⠅⠠⠄⠦
Is Tom in?	⠠⠊⠎⠀⠠⠞⠕⠍⠀⠊⠝⠦
Is it bad?	⠠⠊⠎⠀⠊⠞⠀⠃⠁⠙⠦
Is it bad?	⠠⠊⠎⠀⠊⠞⠀⠃⠁⠙⠦
Is it far?	⠠⠊⠎⠀⠊⠞⠀⠋⠜⠦
Is it you?	⠠⠊⠎⠀⠊⠞⠀⠽⠳⠦
It burned.	⠠⠊⠞⠀⠃⠥⠗⠝⠫⠲
It failed.	⠠⠊⠞⠀⠋⠁⠊⠇⠫⠲
It failed.	⠠⠊⠞⠀⠋⠁⠊⠇⠫⠲
It failed.	⠠⠊⠞⠀⠋⠁⠊⠇⠫⠲
It is new.	⠠⠊⠞⠀⠊⠎⠀⠝⠑⠺⠲
It rained.	⠠⠊⠞⠀⠗⠁⠊⠝⠫⠲
It snowed.	⠠⠊⠞⠀⠎⠝⠪⠫⠲
It stinks.	⠠⠊⠞⠀⠌⠊⠝⠅⠎⠲
It worked.	⠠⠊⠞⠀⠺⠕⠗⠅⠫⠲
It's 3:10.	⠠⠊⠞⠄⠎⠼⠀⠉⠒⠼⠁⠚⠲
It's 8:30.	⠠⠊⠞⠄⠎⠼⠀⠓⠒⠼⠉⠚⠲
It's a TV.	⠠⠊⠞⠄⠎⠀⠁⠀⠠⠠⠞⠧⠠⠄⠲
It's cold.	⠠⠊⠞⠄⠎⠀⠉⠕⠇⠙⠲
It's cold.	⠠⠊⠞⠄⠎⠀⠉⠕⠇⠙⠲
It's cool.	⠠⠊⠞⠄⠎⠀⠉⠕⠕⠇⠲
It's cool.	⠠⠊⠞⠄⠎⠀⠉⠕⠕⠇⠲
It's dark.	⠠⠊⠞⠄⠎⠀⠙⠜⠅⠲
It's done!	⠠⠊⠞⠄⠎⠀⠙⠕⠝⠑⠖
It's fine.	⠠⠊⠞⠄⠎⠀⠋⠊⠝⠑⠲
It's good.	⠠⠊⠞⠄⠎⠀⠛⠕⠕⠙⠲
It's good.	⠠⠊⠞⠄⠎⠀⠛⠕⠕⠙⠲
It's here.	⠠⠊⠞⠄⠎⠀⠓⠻⠑⠲
It's hers.	⠠⠊⠞⠄⠎⠀⠓⠻⠎⠲
It's late.	⠠⠊⠞⠄⠎⠀⠇⠁⠞⠑⠲
It's mine.	⠠⠊⠞⠄⠎⠀⠍⠊⠝⠑⠲
It's mine.	⠠⠊⠞⠄⠎⠀⠍⠊⠝⠑⠲
It's nice.	⠠⠊⠞⠄⠎⠀⠝⠊⠉⠑⠲
It's nice.	⠠⠊⠞⠄⠎⠀⠝⠊⠉⠑⠲
It's okay.	⠠⠊⠞⠄⠎⠀⠕⠅⠁⠽⠲
It's okay.	⠠⠊⠞⠄⠎⠀⠕⠅⠁⠽⠲
It's ours.	⠠⠊⠞⠄⠎⠀⠳⠗⠎⠲
It's ours.	⠠⠊⠞⠄⠎⠀⠳⠗⠎⠲
It's over.	⠠⠊⠞⠄⠎⠀⠕⠧⠻⠲
It's over.	⠠⠊⠞⠄⠎⠀⠕⠧⠻⠲
It's time.	⠠⠊⠞⠄⠎⠀⠞⠊⠍⠑⠲
It's time.	⠠⠊⠞⠄⠎⠀⠞⠊⠍⠑⠲
It's time.	⠠⠊⠞⠄⠎⠀⠞⠊⠍⠑⠲
It's time.	⠠⠊⠞⠄⠎⠀⠞⠊⠍⠑⠲
It's true!	⠠⠊⠞⠄⠎⠀⠞⠗⠥⠑⠖
It's true.	⠠⠊⠞⠄⠎⠀⠞⠗⠥⠑⠲
It's work.	⠠⠊⠞⠄⠎⠀⠺⠕⠗⠅⠲
Keep them.	⠠⠅⠑⠑⠏⠀⠮⠍⠲
Keep them.	⠠⠅⠑⠑⠏⠀⠮⠍⠲
Keep them.	⠠⠅⠑⠑⠏⠀⠮⠍⠲
Keep this.	⠠⠅⠑⠑⠏⠀⠹⠊⠎⠲
Keep this.	⠠⠅⠑⠑⠏⠀⠹⠊⠎⠲
Keep this.	⠠⠅⠑⠑⠏⠀⠹⠊⠎⠲
Keep this.	⠠⠅⠑⠑⠏⠀⠹⠊⠎⠲
Keep this.	⠠⠅⠑⠑⠏⠀⠹⠊⠎⠲
Keep warm.	⠠⠅⠑⠑⠏⠀⠺⠜⠍⠲
Keep warm.	⠠⠅⠑⠑⠏⠀⠺⠜⠍⠲
Keep warm.	⠠⠅⠑⠑⠏⠀⠺⠜⠍⠲
Keep warm.	⠠⠅⠑⠑⠏⠀⠺⠜⠍⠲
Keep warm.	⠠⠅⠑⠑⠏⠀⠺⠜⠍⠲
Keep warm.	⠠⠅⠑⠑⠏⠀⠺⠜⠍⠲
Keep warm.	⠠⠅⠑⠑⠏⠀⠺⠜⠍⠲
Keep warm.	⠠⠅⠑⠑⠏⠀⠺⠜⠍⠲
Leave Tom.	⠠⠇⠑⠁⠧⠑⠀⠠⠞⠕⠍⠲
Leave Tom.	⠠⠇⠑⠁⠧⠑⠀⠠⠞⠕⠍⠲
Leave Tom.	⠠⠇⠑⠁⠧⠑⠀⠠⠞⠕⠍⠲
Leave now.	⠠⠇⠑⠁⠧⠑⠀⠝⠪⠲
Leave now.	⠠⠇⠑⠁⠧⠑⠀⠝⠪⠲
Leave now.	⠠⠇⠑⠁⠧⠑⠀⠝⠪⠲
Let me go!	⠠⠇⠑⠞⠀⠍⠑⠀⠛⠕⠖
Let me go!	⠠⠇⠑⠞⠀⠍⠑⠀⠛⠕⠖
Let me go!	⠠⠇⠑⠞⠀⠍⠑⠀⠛⠕⠖
Let me go.	⠠⠇⠑⠞⠀⠍⠑⠀⠛⠕⠲
Let me in.	⠠⠇⠑⠞⠀⠍⠑⠀⠊⠝⠲
Let me in.	⠠⠇⠑⠞⠀⠍⠑⠀⠊⠝⠲
Let us in.	⠠⠇⠑⠞⠀⠥⠎⠀⠊⠝⠲
Let's eat.	⠠⠇⠑⠞⠄⠎⠀⠑⠁⠞⠲
Let's see.	⠠⠇⠑⠞⠄⠎⠀⠎⠑⠑⠲
Let's try!	⠠⠇⠑⠞⠄⠎⠀⠞⠗⠽⠖
Lie still.	⠠⠇⠊⠑⠀⠌⠊⠇⠇⠲
Lie still.	⠠⠇⠊⠑⠀⠌⠊⠇⠇⠲
Listen up.	⠠⠇⠊⠌⠑⠝⠀⠥⠏⠲
Look away.	⠠⠇⠕⠕⠅⠀⠁⠺⠁⠽⠲
Look away.	⠠⠇⠕⠕⠅⠀⠁⠺⠁⠽⠲
Look away.	⠠⠇⠕⠕⠅⠀⠁⠺⠁⠽⠲
Look away.	⠠⠇⠕⠕⠅⠀⠁⠺⠁⠽⠲
Look back!	⠠⠇⠕⠕⠅⠀⠃⠁⠉⠅⠖
Look back.	⠠⠇⠕⠕⠅⠀⠃⠁⠉⠅⠲
Look back.	⠠⠇⠕⠕⠅⠀⠃⠁⠉⠅⠲
Look back.	⠠⠇⠕⠕⠅⠀⠃⠁⠉⠅⠲
Look here.	⠠⠇⠕⠕⠅⠀⠓⠻⠑⠲
Look here.	⠠⠇⠕⠕⠅⠀⠓⠻⠑⠲
Look here.	⠠⠇⠕⠕⠅⠀⠓⠻⠑⠲
Loosen it.	⠠⠇⠕⠕⠎⠑⠝⠀⠊⠞⠲
Loosen it.	⠠⠇⠕⠕⠎⠑⠝⠀⠊⠞⠲
Loosen it.	⠠⠇⠕⠕⠎⠑⠝⠀⠊⠞⠲
Loosen it.	⠠⠇⠕⠕⠎⠑⠝⠀⠊⠞⠲
Move over.	⠠⠍⠕⠧⠑⠀⠕⠧⠻⠲
Move over.	⠠⠍⠕⠧⠑⠀⠕⠧⠻⠲
Move over.	⠠⠍⠕⠧⠑⠀⠕⠧⠻⠲
Move over.	⠠⠍⠕⠧⠑⠀⠕⠧⠻⠲
Nice shot!	⠠⠝⠊⠉⠑⠀⠩⠕⠞⠖
Of course!	⠠⠷⠀⠉⠳⠗⠎⠑⠖
Open fire!	⠠⠕⠏⠑⠝⠀⠋⠊⠗⠑⠖
Open fire!	⠠⠕⠏⠑⠝⠀⠋⠊⠗⠑⠖
Pardon me?	⠠⠏⠜⠙⠕⠝⠀⠍⠑⠦
Please go.	⠠⠏⠇⠑⠁⠎⠑⠀⠛⠕⠲
Please go.	⠠⠏⠇⠑⠁⠎⠑⠀⠛⠕⠲
Please go.	⠠⠏⠇⠑⠁⠎⠑⠀⠛⠕⠲
Please go.	⠠⠏⠇⠑⠁⠎⠑⠀⠛⠕⠲
Put it on.	⠠⠏⠥⠞⠀⠊⠞⠀⠕⠝⠲
Put it on.	⠠⠏⠥⠞⠀⠊⠞⠀⠕⠝⠲
Read this.	⠠⠗⠑⠁⠙⠀⠹⠊⠎⠲
Read this.	⠠⠗⠑⠁⠙⠀⠹⠊⠎⠲
Read this.	⠠⠗⠑⠁⠙⠀⠹⠊⠎⠲
Read this.	⠠⠗⠑⠁⠙⠀⠹⠊⠎⠲
Say hello.	⠠⠎⠁⠽⠀⠓⠑⠇⠇⠕⠲
Search me.	⠠⠎⠑⠜⠡⠀⠍⠑⠲
See above.	⠠⠎⠑⠑⠀⠁⠃⠕⠧⠑⠲
See above.	⠠⠎⠑⠑⠀⠁⠃⠕⠧⠑⠲
Seize him!	⠠⠎⠑⠊⠵⠑⠀⠓⠊⠍⠖
Seize him!	⠠⠎⠑⠊⠵⠑⠀⠓⠊⠍⠖
Seize him!	⠠⠎⠑⠊⠵⠑⠀⠓⠊⠍⠖
Seize him!	⠠⠎⠑⠊⠵⠑⠀⠓⠊⠍⠖
Seize him!	⠠⠎⠑⠊⠵⠑⠀⠓⠊⠍⠖
Seriously?	⠠⠎⠻⠊⠳⠎⠇⠽⠦
She tried.	⠠⠩⠑⠀⠞⠗⠊⠫⠲
She tried.	⠠⠩⠑⠀⠞⠗⠊⠫⠲
She walks.	⠠⠩⠑⠀⠺⠁⠇⠅⠎⠲
She walks.	⠠⠩⠑⠀⠺⠁⠇⠅⠎⠲
She walks.	⠠⠩⠑⠀⠺⠁⠇⠅⠎⠲
She's hot.	⠠⠩⠑⠄⠎⠀⠓⠕⠞⠲
She's hot.	⠠⠩⠑⠄⠎⠀⠓⠕⠞⠲
She's hot.	⠠⠩⠑⠄⠎⠀⠓⠕⠞⠲
She's hot.	⠠⠩⠑⠄⠎⠀⠓⠕⠞⠲
She's hot.	⠠⠩⠑⠄⠎⠀⠓⠕⠞⠲
Sign here.	⠠⠎⠊⠛⠝⠀⠓⠻⠑⠲
Sign this.	⠠⠎⠊⠛⠝⠀⠹⠊⠎⠲
Sign this.	⠠⠎⠊⠛⠝⠀⠹⠊⠎⠲
Sign this.	⠠⠎⠊⠛⠝⠀⠹⠊⠎⠲
Sign this.	⠠⠎⠊⠛⠝⠀⠹⠊⠎⠲
Sign this.	⠠⠎⠊⠛⠝⠀⠹⠊⠎⠲
Sit still.	⠠⠎⠊⠞⠀⠌⠊⠇⠇⠲
Sit still.	⠠⠎⠊⠞⠀⠌⠊⠇⠇⠲
Sit there.	⠠⠎⠊⠞⠀⠮⠗⠑⠲
Sit tight.	⠠⠎⠊⠞⠀⠞⠊⠣⠞⠲
Slow down.	⠠⠎⠇⠪⠀⠙⠪⠝⠲
Slow down.	⠠⠎⠇⠪⠀⠙⠪⠝⠲
Stay away.	⠠⠌⠁⠽⠀⠁⠺⠁⠽⠲
Stay away.	⠠⠌⠁⠽⠀⠁⠺⠁⠽⠲
Stay calm.	⠠⠌⠁⠽⠀⠉⠁⠇⠍⠲
Stay calm.	⠠⠌⠁⠽⠀⠉⠁⠇⠍⠲
Stay here.	⠠⠌⠁⠽⠀⠓⠻⠑⠲
Step back.	⠠⠌⠑⠏⠀⠃⠁⠉⠅⠲
Stop here.	⠠⠌⠕⠏⠀⠓⠻⠑⠲
Stop here.	⠠⠌⠕⠏⠀⠓⠻⠑⠲
Stop here.	⠠⠌⠕⠏⠀⠓⠻⠑⠲
Stop here.	⠠⠌⠕⠏⠀⠓⠻⠑⠲
Stop here.	⠠⠌⠕⠏⠀⠓⠻⠑⠲
Stop here.	⠠⠌⠕⠏⠀⠓⠻⠑⠲
Stop here.	⠠⠌⠕⠏⠀⠓⠻⠑⠲
Stop that.	⠠⠌⠕⠏⠀⠹⠁⠞⠲
Stop them.	⠠⠌⠕⠏⠀⠮⠍⠲
Stop them.	⠠⠌⠕⠏⠀⠮⠍⠲
Take care!	⠠⠞⠁⠅⠑⠀⠉⠜⠑⠖
Take care!	⠠⠞⠁⠅⠑⠀⠉⠜⠑⠖
Take care.	⠠⠞⠁⠅⠑⠀⠉⠜⠑⠲
Take care.	⠠⠞⠁⠅⠑⠀⠉⠜⠑⠲
Take mine.	⠠⠞⠁⠅⠑⠀⠍⠊⠝⠑⠲
Take mine.	⠠⠞⠁⠅⠑⠀⠍⠊⠝⠑⠲
Take over.	⠠⠞⠁⠅⠑⠀⠕⠧⠻⠲
Take over.	⠠⠞⠁⠅⠑⠀⠕⠧⠻⠲
Take over.	⠠⠞⠁⠅⠑⠀⠕⠧⠻⠲
Take this.	⠠⠞⠁⠅⠑⠀⠹⠊⠎⠲
Take this.	⠠⠞⠁⠅⠑⠀⠹⠊⠎⠲
Take this.	⠠⠞⠁⠅⠑⠀⠹⠊⠎⠲
Take this.	⠠⠞⠁⠅⠑⠀⠹⠊⠎⠲
Thank you.	⠠⠹⠁⠝⠅⠀⠽⠳⠲
Thank you.	⠠⠹⠁⠝⠅⠀⠽⠳⠲
Thank you.	⠠⠹⠁⠝⠅⠀⠽⠳⠲
That's it.	⠠⠹⠁⠞⠄⠎⠀⠊⠞⠲
That's me.	⠠⠹⠁⠞⠄⠎⠀⠍⠑⠲
That's me.	⠠⠹⠁⠞⠄⠎⠀⠍⠑⠲
Then what?	⠠⠮⠝⠀⠱⠁⠞⠦
They fell.	⠠⠮⠽⠀⠋⠑⠇⠇⠲
They left.	⠠⠮⠽⠀⠇⠑⠋⠞⠲
They left.	⠠⠮⠽⠀⠇⠑⠋⠞⠲
They left.	⠠⠮⠽⠀⠇⠑⠋⠞⠲
They lost.	⠠⠮⠽⠀⠇⠕⠌⠲
Tom bowed.	⠠⠞⠕⠍⠀⠃⠪⠫⠲
Tom cared.	⠠⠞⠕⠍⠀⠉⠜⠫⠲
Tom cared.	⠠⠞⠕⠍⠀⠉⠜⠫⠲
Tom cared.	⠠⠞⠕⠍⠀⠉⠜⠫⠲
Tom cares.	⠠⠞⠕⠍⠀⠉⠜⠑⠎⠲
Tom cares.	⠠⠞⠕⠍⠀⠉⠜⠑⠎⠲
Tom cried.	⠠⠞⠕⠍⠀⠉⠗⠊⠫⠲
Tom dozed.	⠠⠞⠕⠍⠀⠙⠕⠵⠫⠲
Tom drove.	⠠⠞⠕⠍⠀⠙⠗⠕⠧⠑⠲
Tom is OK.	⠠⠞⠕⠍⠀⠊⠎⠀⠠⠠⠕⠅⠠⠄⠲
Tom is in.	⠠⠞⠕⠍⠀⠊⠎⠀⠊⠝⠲
Tom is up.	⠠⠞⠕⠍⠀⠊⠎⠀⠥⠏⠲
Tom knits.	⠠⠞⠕⠍⠀⠅⠝⠊⠞⠎⠲
Tom knows.	⠠⠞⠕⠍⠀⠅⠝⠪⠎⠲
Tom moved.	⠠⠞⠕⠍⠀⠍⠕⠧⠫⠲
Tom moved.	⠠⠞⠕⠍⠀⠍⠕⠧⠫⠲
Tom rocks.	⠠⠞⠕⠍⠀⠗⠕⠉⠅⠎⠲
Tom stood.	⠠⠞⠕⠍⠀⠌⠕⠕⠙⠲
Tom swims.	⠠⠞⠕⠍⠀⠎⠺⠊⠍⠎⠲
Tom swore.	⠠⠞⠕⠍⠀⠎⠺⠕⠗⠑⠲
Tom tried.	⠠⠞⠕⠍⠀⠞⠗⠊⠫⠲
Tom tries.	⠠⠞⠕⠍⠀⠞⠗⠊⠑⠎⠲
Tom voted.	⠠⠞⠕⠍⠀⠧⠕⠞⠫⠲
Tom walks.	⠠⠞⠕⠍⠀⠺⠁⠇⠅⠎⠲
Tom waved.	⠠⠞⠕⠍⠀⠺⠁⠧⠫⠲
Tom works.	⠠⠞⠕⠍⠀⠺⠕⠗⠅⠎⠲
Tom'll go.	⠠⠞⠕⠍⠄⠇⠇⠀⠛⠕⠲
Tom's fat.	⠠⠞⠕⠍⠄⠎⠀⠋⠁⠞⠲
Tom's mad.	⠠⠞⠕⠍⠄⠎⠀⠍⠁⠙⠲
Tom's sad.	⠠⠞⠕⠍⠄⠎⠀⠎⠁⠙⠲
Tom's shy.	⠠⠞⠕⠍⠄⠎⠀⠩⠽⠲
Trust Tom.	⠠⠞⠗⠥⠌⠀⠠⠞⠕⠍⠲
Try again.	⠠⠞⠗⠽⠀⠁⠛⠁⠊⠝⠲
Try again.	⠠⠞⠗⠽⠀⠁⠛⠁⠊⠝⠲
Try again.	⠠⠞⠗⠽⠀⠁⠛⠁⠊⠝⠲
Try it on.	⠠⠞⠗⠽⠀⠊⠞⠀⠕⠝⠲
Wait here.	⠠⠺⠁⠊⠞⠀⠓⠻⠑⠲
Wait here.	⠠⠺⠁⠊⠞⠀⠓⠻⠑⠲
Wait here.	⠠⠺⠁⠊⠞⠀⠓⠻⠑⠲
Wait here.	⠠⠺⠁⠊⠞⠀⠓⠻⠑⠲
Watch Tom.	⠠⠺⠁⠞⠡⠀⠠⠞⠕⠍⠲
Watch out!	⠠⠺⠁⠞⠡⠀⠳⠞⠖
We can go.	⠠⠺⠑⠀⠉⠁⠝⠀⠛⠕⠲
We can go.	⠠⠺⠑⠀⠉⠁⠝⠀⠛⠕⠲
We can go.	⠠⠺⠑⠀⠉⠁⠝⠀⠛⠕⠲
We failed.	⠠⠺⠑⠀⠋⠁⠊⠇⠫⠲
We failed.	⠠⠺⠑⠀⠋⠁⠊⠇⠫⠲
